"Work_Ref__c","Investigation_Case__r.Work_Ref__c","Signal__c","Family__c","Detail__c"
"MP3017329-W283439","MP3017329-W283439","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 737 works at a median of Rs 129,700 -> 2024: 11 works at a median of Rs 9,900,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017329-W283439","MP3017329-W283439","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017255-W218146","MP3017255-W218146","Peer amount","amount","Recommended amount at the 99th percentile of 628 comparable works (robust z 43.8)."
"MP3017255-W218146","MP3017255-W218146","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2024: 36 works at a median of Rs 1,000,000 -> 2025: 5 works at a median of Rs 2,500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017255-W218146","MP3017255-W218146","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042530-W156951","MP3042530-W156951","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 102.2)."
"MP3042530-W156951","MP3042530-W156951","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042530-W156951","MP3042530-W156951","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042530-W156952","MP3042530-W156952","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 102.0)."
"MP3042530-W156952","MP3042530-W156952","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042530-W156952","MP3042530-W156952","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019200-W252126","MP3019200-W252126","Peer amount","amount","Recommended amount at the 100th percentile of 7203 comparable works (robust z 22.4)."
"MP3019200-W252126","MP3019200-W252126","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 192 works at a median of Rs 50,000 -> 2024: 21 works at a median of Rs 780,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019200-W252126","MP3019200-W252126","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3017253-W143819","MP3017253-W143819","Peer amount","amount","Recommended amount at the 99th percentile of 628 comparable works (robust z 33.5)."
"MP3017253-W143819","MP3017253-W143819","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 235 works at a median of Rs 249,000 -> 2026: 20 works at a median of Rs 530,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3017253-W143819","MP3017253-W143819","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042530-W145618","MP3042530-W145618","Peer amount","amount","Recommended amount at the 100th percentile of 13232 comparable works (robust z 99.7)."
"MP3042530-W145618","MP3042530-W145618","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042530-W145618","MP3042530-W145618","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042530-W156949","MP3042530-W156949","Peer amount","amount","Recommended amount at the 100th percentile of 6132 comparable works (robust z 687.4)."
"MP3042530-W156949","MP3042530-W156949","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 26 works at a median of Rs 1,000,000 -> 2026: 7 works at a median of Rs 2,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042530-W156949","MP3042530-W156949","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019258-W259140","MP3019258-W259140","Peer amount","amount","Recommended amount at the 100th percentile of 403 comparable works (robust z 131.5)."
"MP3019258-W259140","MP3019258-W259140","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 242 works at a median of Rs 247,500 -> 2026: 26 works at a median of Rs 500,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019258-W259140","MP3019258-W259140","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3018373-W97341","MP3018373-W97341","Peer amount","amount","Recommended amount at the 100th percentile of 39 comparable works (robust z 223.9)."
"MP3018373-W97341","MP3018373-W97341","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 97%). Before/after - 2024: 7 works at a median of Rs 6,000,000 -> 2025: 278 works at a median of Rs 150,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3018373-W97341","MP3018373-W97341","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042348-W201278","MP3042348-W201278","Peer amount","amount","Recommended amount at the 100th percentile of 317 comparable works (robust z 53.7)."
"MP3042348-W201278","MP3042348-W201278","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 5 works at a median of Rs 331,500 -> 2025: 14 works at a median of Rs 857,500. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042348-W201278","MP3042348-W201278","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042538-W153601","MP3042538-W153601","Peer amount","amount","Recommended amount at the 99th percentile of 46 comparable works (robust z 12.4)."
"MP3042538-W153601","MP3042538-W153601","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 156 works at a median of Rs 500,000 -> 2026: 29 works at a median of Rs 1,100,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042538-W153601","MP3042538-W153601","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3042538-W153603","MP3042538-W153603","Peer amount","amount","Recommended amount at the 99th percentile of 46 comparable works (robust z 12.4)."
"MP3042538-W153603","MP3042538-W153603","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2025: 156 works at a median of Rs 500,000 -> 2026: 29 works at a median of Rs 1,100,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3042538-W153603","MP3042538-W153603","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3019201-W92574","MP3019201-W92574","Peer amount","amount","Recommended amount at the 100th percentile of 6132 comparable works (robust z 653.7)."
"MP3019201-W92574","MP3019201-W92574","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 100%). Before/after - 2023: 15 works at a median of Rs 600,000 -> 2024: 31 works at a median of Rs 1,215,970. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
"MP3019201-W92574","MP3019201-W92574","Statistical outlier","multivariate","A trained anomaly detector (IsolationForest) flags this work's amount-and-age profile as unusual against the national portfolio."
"MP3023812-W207351","MP3023812-W207351","Peer amount","amount","Recommended amount at the 100th percentile of 1103 comparable works (robust z 65.9)."
"MP3023812-W207351","MP3023812-W207351","Behavioural change","behaviour","Implementing agency's recommendation pattern shifted year-on-year (magnitude 70%). Before/after - 2025: 108 works at a median of Rs 586,716 -> 2026: 7 works at a median of Rs 1,000,000. A change point is a lead, not a finding: a new officer or a revised guideline produces one too."
